sheep count; dog count; collection time; herding time
10; 1; /; /
10; 1; 148.9516; 169.8134
10; 1; 47.58727; 107.7991
10; 1; 148.2022; 158.4048
10; 1; 127.2265; 170.9024
10; 1; 60.49277; 133.3357
10; 1; 270.535; 307.2321
10; 1; 48.44552; 66.7261
10; 1; 34.5833; 81.93407
10; 1; 76.45686; 112.7171
10; 1; 74.65077; 109.3108
10; 1; 53.65826; 112.3477
10; 1; 56.18621; 108.3072
10; 1; 47.06427; 85.33951
10; 1; 54.89067; 85.92548
10; 1; 53.55498; 92.4299
10; 1; 55.35944; 67.02501
10; 1; 47.27953; 90.40426
10; 1; 56.85119; 78.91074
10; 1; 128.0532; 190.9859
