sheep count; dog count; collection time; herding time
60; 1; 72.44799; 138.8387
60; 1; 49.90033; 128.6342
60; 1; 56.10739; 147.8746
60; 1; 102.0664; 177.642
60; 1; 43.84013; 157.2916
60; 1; 65.63131; 149.8973
60; 1; 107.7978; 159.5055
60; 1; 45.71951; 216.7728
60; 1; 60.56301; 143.1918
60; 1; 87.75404; 171.0527
60; 1; 75.45071; 210.4536
60; 1; 41.93549; 101.05
60; 1; 52.91351; 115.6846
60; 1; 65.81179; 118.9023
60; 1; /; /
60; 1; 131.7043; 177.1523
60; 1; 51.25235; 91.62411
60; 1; 49.76536; 151.33
60; 1; 46.31255; 138.1045
60; 1; 141.4265; 222.1002
60; 1; 44.20623; 99.75035
60; 1; 56.42737; 138.7616
