sheep count; dog count; collection time; herding time
50; 1; 91.94094; 186.0482
50; 1; 52.19172; 139.1538
50; 1; 47.00403; 97.93575
50; 1; 63.31838; 118.2078
50; 1; 50.09653; 97.16512
50; 1; 102.4699; 158.4557
50; 1; 48.51626; 120.7321
50; 1; 45.5957; 134.0574
50; 1; 47.40363; 86.79381
50; 1; 56.16014; 113.481
50; 1; 176.8758; 256.7381
50; 1; 95.43255; 177.3286
50; 1; 47.76064; 113.2705
50; 1; 60.31192; 118.0087
50; 1; 63.27367; 142.9872
50; 1; 49.7532; 116.7657
50; 1; 48.78639; 107.4532
50; 1; 59.8827; 141.2212
50; 1; 75.91917; 127.063
50; 1; 53.4904; 120.2
50; 1; 59.99644; 129.3826
50; 1; 52.71918; 118.6399
50; 1; 52.6338; 99.94247
50; 1; 40.58383; 97.94032
50; 1; 48.08434; 111.3815
50; 1; 47.61799; 94.49283
50; 1; 60.92121; 92.51531
50; 1; 53.84642; 101.2062
50; 1; 67.59556; 114.4244
