sheep count; dog count; collection time; herding time
70; 1; 145.6638; 257.5854
70; 1; 230.8293; 280.5109
70; 1; 158.2546; 246.201
70; 1; 573.6208; 689.9893
70; 1; 573.6208; 587.6173
70; 1; 142.8672; 369.8668
70; 1; 225.7142; 367.1358
70; 1; 199.1964; 602.4846
70; 1; 199.8596; 299.5641
70; 1; 164.9928; 253.7334
70; 1; 164.9928; 524.5105
