sheep count; dog count; collection time; herding time
30; 1; 46.86643; 129.7664
30; 1; 60.47475; 125.2137
30; 1; 78.7338; 204.8311
30; 1; 50.78729; 81.69968
30; 1; 55.39389; 104.3114
30; 1; 61.12221; 134.3164
30; 1; 53.00362; 98.53461
30; 1; 66.64176; 112.4953
30; 1; 57.96243; 127.1638
30; 1; 99.96922; 123.2996
30; 1; 46.30849; 102.6509
30; 1; 145.0327; 169.8131
30; 1; 118.3757; 187.7392
30; 1; 206.6298; 313.6299
30; 1; 64.0117; 107.8536
30; 1; 55.52803; 107.9382
30; 1; 71.98974; 105.3513
30; 1; 58.65091; 113.1771
30; 1; 101.4259; 137.3974
30; 1; 510.4598; 615.1723
30; 1; 292.7811; 401.4545
30; 1; 59.03353; 105.6613
