sheep count; dog count; collection time; herding time
110; 1; 636.528; 674.7964
110; 1; 702.2852; 792.0676
110; 1; 310.3256; 428.7765
110; 1; /; /
110; 1; 402.0868; 685.8123
110; 1; 349.718; 542.5373
110; 1; 836.4208; 929.7941
110; 1; 752.0455; 825.374
110; 1; /; /
110; 1; 405.8307; 597.8397
110; 1; 684.7215; 769.4321
110; 1; /; /
110; 1; /; /
110; 1; 240.525; 331.7926
110; 1; /; /
110; 1; /; /
