sheep count; dog count; collection time; herding time
80; 1; 45.396; 122.3512
80; 1; 51.75765; 103.3083
80; 1; 40.98733; 141.2237
80; 1; 45.18687; 101.6761
80; 1; 104.9072; 155.7518
80; 1; 50.33324; 132.0499
80; 1; 44.65942; 131.6508
80; 1; 223.174; 280.2574
80; 1; 43.52673; 103.879
80; 1; 46.49494; 109.8858
80; 1; 50.06668; 121.9467
80; 1; 53.24566; 122.686
80; 1; 40.42455; 211.1975
80; 1; 47.60463; 106.2547
80; 1; 59.65013; 117.1643
80; 1; 139.9858; 237.095
80; 1; 70.27058; 167.0036
80; 1; 47.09924; 141.7292
80; 1; 53.19374; 127.2095
80; 1; 57.07628; 191.2518
80; 1; 47.18332; 111.8193
80; 1; 41.71831; 108.9456
