sheep count; dog count; collection time; herding time
130; 1; 167.2374; 346.9666
130; 1; /; /
130; 1; 337.2399; 524.0578
130; 1; 353.6498; 646.3264
130; 1; 211.6483; 468.3054
130; 1; /; /
130; 1; /; /
130; 1; 100.9266; 224.2481
130; 1; 186.4313; 562.4795
130; 1; 109.3874; 307.7638
130; 1; 129.2872; 373.4087
