sheep count; dog count; collection time; herding time
70; 1; 182.5623; 271.9482
70; 1; /; /
70; 1; 236.171; 309.6034
70; 1; 293.5532; 368.9547
70; 1; 164.5876; 265.6524
70; 1; 220.8158; 365.4636
70; 1; 343.0766; 413.6218
70; 1; 183.3283; 263.4991
70; 1; 169.582; 286.8471
70; 1; 230.078; 284.4344
70; 1; 140.6359; 213.2934
