sheep count; dog count; collection time; herding time
20; 1; 62.66042; 82.98205
20; 1; 66.8941; 159.5108
20; 1; 59.585; 169.6813
20; 1; 59.57296; 100.1023
20; 1; 134.5405; 190.2637
20; 1; 113.2911; 158.9079
20; 1; 56.0647; 96.46905
20; 1; 59.9304; 109.9832
20; 1; 50.27614; 109.6112
20; 1; 53.27369; 112.3384
20; 1; 57.2976; 126.0312
20; 1; 52.54384; 91.67851
20; 1; 91.74931; 147.8043
20; 1; 108.3964; 138.6525
20; 1; 46.80521; 91.7131
20; 1; 110.5994; 201.9093
20; 1; 69.85469; 134.0936
20; 1; 61.49503; 135.2477
20; 1; 40.68434; 76.55624
20; 1; 62.68812; 116.0623
20; 1; 56.87787; 96.52432
20; 1; 40.66532; 89.96925
