sheep count; dog count; collection time; herding time
90; 1; 40.33321; 127.1105
90; 1; 60.52128; 122.9005
90; 1; 61.14508; 179.9846
90; 1; 46.43049; 198.7176
90; 1; 51.46248; 128.9253
90; 1; 45.83931; 114.5707
90; 1; 48.36428; 115.4666
90; 1; 45.24649; 117.924
90; 1; 63.19105; 126.909
90; 1; 57.40519; 211.776
90; 1; 64.21594; 124.7849
90; 1; 43.89377; 121.2847
90; 1; 53.94356; 197.4379
90; 1; 50.63581; 117.9819
90; 1; 44.56075; 105.2145
90; 1; 46.80168; 143.5906
90; 1; 47.39411; 108.0059
90; 1; 64.02624; 124.5842
90; 1; 50.31807; 138.0693
90; 1; 53.41615; 116.7536
90; 1; 101.9731; 224.6248
90; 1; 40.71348; 112.3202
