sheep count; dog count; collection time; herding time
70; 1; 46.45174; 105.9661
70; 1; 53.19542; 137.8566
70; 1; 61.97221; 118.2305
70; 1; 59.81871; 104.7681
70; 1; 45.61167; 210.3362
70; 1; 42.81563; 121.2834
70; 1; 35.09367; 100.3406
70; 1; 56.23036; 151.3729
70; 1; 51.1823; 115.0759
70; 1; 48.585; 113.3204
70; 1; 59.51708; 123.4908
70; 1; 80.7423; 150.2572
70; 1; 48.44383; 107.2137
70; 1; 78.24863; 153.6902
70; 1; 52.68187; 129.6704
70; 1; 65.60751; 148.8098
70; 1; 58.26986; 113.1474
70; 1; 187.4895; 308.9026
70; 1; 63.16629; 155.5371
70; 1; 57.75738; 121.6875
70; 1; 44.16415; 98.72966
70; 1; 59.08512; 115.853
